Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;1;4490;100;24;24;0;0;100;4331;159;48;31;80;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;2;4403;100;24;24;0;0;100;4248;155;45;30;79;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;Totalt i retning KvalÃ¸ya;4490;100;24;24;0;0;100;4331;159;48;31;80;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;Totalt i retning TromsÃ¸;4403;100;24;24;0;0;100;4248;155;45;30;79;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;Totalt;8893;100;24;24;0;0;100;8579;314;93;61;159;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;1;3906;100;24;24;0;0;100;3763;143;31;30;81;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;2;4110;100;24;24;0;0;100;3960;150;38;32;80;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;Totalt i retning KvalÃ¸ya;3906;100;24;24;0;0;100;3763;143;31;30;81;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;Totalt i retning TromsÃ¸;4110;100;24;24;0;0;100;3960;150;38;32;80;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;Totalt;8016;100;24;24;0;0;100;7723;293;69;62;161;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;1;7615;100;24;24;0;11;99,86;7193;411;110;95;195;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;2;7661;100;24;24;0;0;100;7255;406;102;97;197;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;Totalt i retning KvalÃ¸ya;7631;100;24;24;0;11;99,86;7208;412;109;96;196;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;Totalt i retning TromsÃ¸;7645;100;24;24;0;0;100;7240;405;103;96;196;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;Totalt;15276;100;24;24;0;11;99,93;14448;817;212;192;392;21;21;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;1;7873;100;24;24;0;1;99,99;7402;470;119;131;203;17;17;0
